State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
DC,District of Columbia,10/1/2019,Y,U,Y,4116,Includes SBM data,2151,,6267,Includes Renewals and/or Redeterminations,4263,Includes Renewals and/or Redeterminations; Includes CHIP,,,4263,,93816,,253818,,41.5834,-72.7622,"(41.5834, -72.7622)",236278,,17540,
AZ,Arizona,12/1/2019,Y,U,Y,94909,,N/A,,94909,,,,,,,,,,1708073,,14.2417,-170.7197,"(14.2417, -170.7197)",1610623,,97450,
WY,Wyoming,4/1/2019,N,P,N,1421,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1421,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,832,,37,,869,,37418,,56174,,44.0407,-72.7093,"(44.0407, -72.7093)",51863,,4311,
MD,Maryland,11/1/2017,Y,U,Y,7737,,123157,Includes Renewals and/or Redeterminations,130894,Includes Renewals and/or Redeterminations,29647,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",5153,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",34800,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",612034,,1317089,,42.2373,-71.5314,"(42.2373, -71.5314)",1169636,,147453,
OK,Oklahoma,7/1/2019,N,U,Y,44716,Includes Renewals and/or Redeterminations,N/A,,44716,Includes Renewals and/or Redeterminations,42791,Includes Renewals and/or Redeterminations,7418,,50209,Includes Renewals and/or Redeterminations,515185,,735152,,42.1497,-74.9384,"(42.1497, -74.9384)",612128,,123024,
PA,Pennsylvania,8/1/2020,Y,P,N,63753,Includes Renewals and/or Redeterminations,N/A,,63753,Includes Renewals and/or Redeterminations,46613,Includes Renewals and/or Redeterminations,3943,,50556,Includes Renewals and/or Redeterminations,1448464,,3135671,,35.5376,-96.9247,"(35.5376, -96.9247)",2955315,,180356,
IA,Iowa,6/1/2019,Y,U,Y,13620,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13620,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,339084,,676777,,21.1098,-157.5311,"(21.1098, -157.5311)",600432,,76345,
LA,Louisiana,1/1/2019,Y,U,Y,31532,,N/A,,31532,,19131,,1357,,20488,,752408,,1592641,,37.669,-84.6514,"(37.669, -84.6514)",1458967,,133674,
AK,Alaska,11/1/2019,Y,P,N,2936,Includes Renewals and/or Redeterminations,N/A,,2936,Includes Renewals and/or Redeterminations,2601,Includes Renewals and/or Redeterminations; Includes CHIP,190,,2791,Includes Renewals and/or Redeterminations,97338,,221152,,61.385,-152.2683,"(61.385, -152.2683)",204574,,16578,
VA,Virginia,6/1/2017,Y,P,N,20068,Includes Renewals and/or Redeterminations,N/A,,20068,Includes Renewals and/or Redeterminations,13818,Includes Renewals and/or Redeterminations,547,Includes Renewals and/or Redeterminations,14365,Includes Renewals and/or Redeterminations,658398,,997537,,35.7449,-86.7489,"(35.7449, -86.7489)",875927,,121610,
AL,Alabama,12/1/2018,N,U,Y,16919,,N/A,,16919,,12219,,1584,,13803,,650406,,911983,,32.799,-86.8073,"(32.799, -86.8073)",739314,,172669,
MN,Minnesota,9/1/2018,Y,U,Y,5207,,17272,,22479,,16949,,37,,16986,,540055,,1079754,,43.3504,-84.5603,"(43.3504, -84.5603)",1078453,,1301,
MI,Michigan,2/1/2018,Y,U,Y,43172,,N/A,,43172,,42819,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1288,,44107,,950952,Does Not Include All Full-Benefit Child Medicaid enrollees,2381797,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2325253,Does Not Include All Full-Benefit Medicaid enrollees,56544,
VT,Vermont,12/1/2018,Y,U,Y,2669,,2343,,5012,Includes Renewals and/or Redeterminations,5264,Includes Renewals and/or Redeterminations,146,,5410,,63270,,160114,,31.106,-97.6475,"(31.106, -97.6475)",155538,,4576,
NJ,New Jersey,9/1/2017,Y,U,Y,32777,,N/A,,32777,,12621,Does Not Include All Medicaid Determinations Made At Application,4201,Does Not Include All CHIP Determinations Made At Application,16822,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,838831,,1763781,,41.1289,-98.2883,"(41.1289, -98.2883)",1561429,,202352,
OH,Ohio,10/1/2018,Y,U,Y,74112,Includes Renewals and/or Redeterminations,N/A,,74112,Includes Renewals and/or Redeterminations,64232,Includes CHIP; Includes Renewals and/or Redeterminations,3598,,67830,Includes Renewals and/or Redeterminations,1194879,,2700034,,38.4199,-117.1219,"(38.4199, -117.1219)",2483182,,216852,
VT,Vermont,11/1/2018,Y,U,Y,2958,,1834,,4792,Includes Renewals and/or Redeterminations,5303,Includes Renewals and/or Redeterminations,155,,5458,,63086,,159616,,31.106,-97.6475,"(31.106, -97.6475)",155133,,4483,
MS,Mississippi,2/1/2019,N,U,Y,18313,,N/A,,18313,,11632,,707,,12339,,422039,,621825,,38.4623,-92.302,"(38.4623, -92.302)",545297,,76528,
MA,Massachusetts,8/1/2020,Y,P,N,9104,,3209,,12313,,8433,,755,,9188,,689316,,1649211,,31.1801,-91.8749,"(31.1801, -91.8749)",1458527,,190684,
UT,Utah,7/1/2018,N,P,N,19444,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,19444,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",37964,Includes CHIP,,,37964,,201166,,293770,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",249429,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44341,
OK,Oklahoma,1/1/2020,N,P,N,48758,Includes Renewals and/or Redeterminations,N/A,,48758,Includes Renewals and/or Redeterminations,49691,Includes Renewals and/or Redeterminations,9369,Includes Renewals and/or Redeterminations,59060,Includes Renewals and/or Redeterminations,505785,,721273,,42.1497,-74.9384,"(42.1497, -74.9384)",600201,,121072,
IL,Illinois,9/1/2019,Y,U,Y,64450,,N/A,,64450,,27634,,9347,,36981,,1351037,,2842807,,44.2394,-114.5103,"(44.2394, -114.5103)",2570932,,271875,
AZ,Arizona,7/1/2019,Y,U,Y,112109,,N/A,,112109,,,,,,,,,,1715655,,14.2417,-170.7197,"(14.2417, -170.7197)",1614557,,101098,
AR,Arkansas,9/1/2019,Y,P,N,19576,,N/A,,19576,,12078,,787,,12865,,368627,,790426,,34.9513,-92.3809,"(34.9513, -92.3809)",758081,,32345,
OH,Ohio,12/1/2017,Y,P,N,69697,Includes Renewals and/or Redeterminations,N/A,,69697,Includes Renewals and/or Redeterminations,40995,Includes CHIP; Includes Renewals and/or Redeterminations,2595,,43590,Includes Renewals and/or Redeterminations,1217522,,2810412,,38.4199,-117.1219,"(38.4199, -117.1219)",2594886,,215526,
KS,Kansas,1/1/2019,N,P,N,,,N/A,,,,,,,,,,269536,,390420,,39.8647,-86.2604,"(39.8647, -86.2604)",334248,,56172,
IN,Indiana,8/1/2020,Y,U,Y,50137,,N/A,,50137,,29381,,2067,,31448,,862179,,1675433,,40.3363,-89.0022,"(40.3363, -89.0022)",1563043,,112390,
DC,District of Columbia,5/1/2018,Y,U,Y,3537,Includes SBM data,1739,,5276,Includes Renewals and/or Redeterminations,3705,Includes Renewals and/or Redeterminations; Includes CHIP,,,3705,,92485,,255580,,41.5834,-72.7622,"(41.5834, -72.7622)",240358,,15222,
MA,Massachusetts,4/1/2019,Y,P,N,16782,,1516,,18298,,,,,,,,664324,,1552147,,31.1801,-91.8749,"(31.1801, -91.8749)",1369631,,182516,
OK,Oklahoma,6/1/2020,N,P,N,32790,Includes Renewals and/or Redeterminations,N/A,,32790,Includes Renewals and/or Redeterminations,89321,Includes Renewals and/or Redeterminations,19341,Includes Renewals and/or Redeterminations,108662,Includes Renewals and/or Redeterminations,549537,,797220,,42.1497,-74.9384,"(42.1497, -74.9384)",672238,,124982,
AZ,Arizona,8/1/2018,Y,U,Y,119772,,N/A,,119772,,,,,,,,,,1691877,,14.2417,-170.7197,"(14.2417, -170.7197)",1591718,,100159,
NC,North Carolina,7/1/2019,N,P,N,24319,,N/A,,24319,,31858,,3014,,34872,,1173572,,1738840,,32.7673,-89.6812,"(32.7673, -89.6812)",1471327,,267513,
AK,Alaska,7/1/2018,Y,P,N,2911,Includes Renewals and/or Redeterminations,N/A,,2911,Includes Renewals and/or Redeterminations,2232,Includes Renewals and/or Redeterminations; Includes CHIP,,,2232,Includes Renewals and/or Redeterminations,94270,,209491,,61.385,-152.2683,"(61.385, -152.2683)",195832,,13659,
VT,Vermont,11/1/2018,Y,P,N,2958,,1822,,4780,Includes Renewals and/or Redeterminations,3537,Includes Renewals and/or Redeterminations,89,,3626,,62605,,158298,,31.106,-97.6475,"(31.106, -97.6475)",153892,,4406,
PA,Pennsylvania,4/1/2019,Y,P,N,84865,Includes Renewals and/or Redeterminations,N/A,,84865,Includes Renewals and/or Redeterminations,83736,Includes Renewals and/or Redeterminations,10861,,94597,Includes Renewals and/or Redeterminations,1391817,,2949843,,35.5376,-96.9247,"(35.5376, -96.9247)",2766871,,182972,
CO,Colorado,12/1/2018,Y,U,Y,23423,,259,,23682,,20823,,371,,21194,,589414,,1331087,,36.17,-119.7462,"(36.17, -119.7462)",1249593,,81494,
SD,South Dakota,7/1/2020,N,U,Y,2166,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2166,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1077,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1077,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",81956,,115715,,18.2766,-66.335,"(18.2766, -66.335)",99912,,15803,
DE,Delaware,1/1/2019,Y,U,Y,3059,,N/A,,3059,,5078,,701,,5779,,106450,,232614,,38.8964,-77.0262,"(38.8964, -77.0262)",221080,,11534,
LA,Louisiana,2/1/2020,Y,P,N,22041,,N/A,,22041,,28623,,2019,,30642,,720218,,1500359,,37.669,-84.6514,"(37.669, -84.6514)",1381698,,118661,
TN,Tennessee,8/1/2017,N,U,Y,630,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,630,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,522,,522,Does Not Include All Medicaid Determinations Made At Application,,,1505215,,41.6772,-71.5101,"(41.6772, -71.5101)",1425855,,79360,
NC,North Carolina,8/1/2020,N,U,Y,27302,,N/A,,27302,,31670,,2969,,34639,,1247665,,1924876,,32.7673,-89.6812,"(32.7673, -89.6812)",1633578,,291298,
AK,Alaska,5/1/2020,Y,P,N,2497,Includes Renewals and/or Redeterminations,N/A,,2497,Includes Renewals and/or Redeterminations,3407,Includes Renewals and/or Redeterminations; Includes CHIP,213,,3620,Includes Renewals and/or Redeterminations,98912,,230043,,61.385,-152.2683,"(61.385, -152.2683)",214692,,15351,
CO,Colorado,7/1/2017,Y,P,Y,17469,,1629,,19098,,15363,,215,,15578,,623371,,1420173,,36.17,-119.7462,"(36.17, -119.7462)",1347334,,72839,
IL,Illinois,5/1/2020,Y,P,N,70855,,N/A,,70855,,,,,,,,1368005,,2961326,,44.2394,-114.5103,"(44.2394, -114.5103)",2676887,,284439,
WV,West Virginia,3/1/2018,Y,P,N,23146,,N/A,,23146,,12817,,711,,13528,,222479,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),535880,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",502629,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33251,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MA,Massachusetts,11/1/2019,Y,U,Y,15847,,2638,,18485,,11620,,878,,12498,,679073,,1575125,,31.1801,-91.8749,"(31.1801, -91.8749)",1383330,,191795,
AK,Alaska,11/1/2017,Y,U,Y,4320,Includes Renewals and/or Redeterminations,N/A,,4320,Includes Renewals and/or Redeterminations,3337,Includes Renewals and/or Redeterminations; Includes CHIP,,,3337,Includes Renewals and/or Redeterminations,92203,,201672,,61.385,-152.2683,"(61.385, -152.2683)",188630,,13042,
ND,North Dakota,3/1/2019,Y,P,N,2721,,N/A,,2721,,1875,,36,,1911,,43254,,91995,,46.9048,-110.3261,"(46.9048, -110.3261)",89842,,2153,
MN,Minnesota,5/1/2018,Y,P,N,4945,,17419,,22364,,18501,,62,,18563,,532615,,1070497,,43.3504,-84.5603,"(43.3504, -84.5603)",1069268,,1229,
RI,Rhode Island,9/1/2018,Y,U,Y,2239,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2239,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2874,,602,,3476,,122971,,310961,,44.5672,-122.1269,"(44.5672, -122.1269)",278985,,31976,
ME,Maine,2/1/2020,Y,U,Y,5866,,N/A,,5866,,10285,,627,,10912,,102674,,222650,,39.0724,-76.7902,"(39.0724, -76.7902)",210419,,12231,
CO,Colorado,4/1/2020,Y,U,Y,27624,,227,,27851,,24039,,335,,24374,,572564,,1306533,,36.17,-119.7462,"(36.17, -119.7462)",1227258,,79275,
WI,Wisconsin,7/1/2020,N,U,Y,19485,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,19485,Does Not Include All Applications for Limited-Benefit Programs,17070,"Count is of Households, Not Individuals",1147,,18217,,535896,,1137130,,37.768,-78.2057,"(37.768, -78.2057)",1067704,,69426,
IA,Iowa,7/1/2018,Y,U,Y,14283,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,14283,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1413,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1413,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,333170,,662978,,21.1098,-157.5311,"(21.1098, -157.5311)",591447,,71531,
SC,South Carolina,5/1/2019,N,P,N,23681,,N/A,,23681,,6361,Does Not Include All Medicaid Determinations Made At Application,149,Does Not Include All CHIP Determinations Made At Application,6510,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652470,,1034481,,40.5773,-77.264,"(40.5773, -77.264)",944382,,90099,
WI,Wisconsin,8/1/2019,N,U,Y,25595,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,25595,Does Not Include All Applications for Limited-Benefit Programs,18194,"Count is of Households, Not Individuals",1040,,19234,,507858,,1043194,,37.768,-78.2057,"(37.768, -78.2057)",974545,,68649,
CA,California,6/1/2020,Y,P,N,148524,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,148524,,169741,Does Not Include All Medicaid Determinations Made At Application,12978,Does Not Include All CHIP Determinations Made At Application,182719,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4845851,,11847711,,33.7712,-111.3877,"(33.7712, -111.3877)",10561031,,1286680,
AK,Alaska,8/1/2019,Y,U,Y,3183,Includes Renewals and/or Redeterminations,N/A,,3183,Includes Renewals and/or Redeterminations,2820,Includes Renewals and/or Redeterminations; Includes CHIP,134,,2954,Includes Renewals and/or Redeterminations,97472,,221946,,61.385,-152.2683,"(61.385, -152.2683)",206020,,15926,
ND,North Dakota,4/1/2020,Y,U,Y,2428,,N/A,,2428,,2710,,75,,2785,,44044,,92690,,46.9048,-110.3261,"(46.9048, -110.3261)",90377,,2313,
DC,District of Columbia,7/1/2019,Y,P,N,2496,Includes SBM data,2244,,4740,Includes Renewals and/or Redeterminations,1564,Includes Renewals and/or Redeterminations; Includes CHIP,,,1564,,94977,,256101,,41.5834,-72.7622,"(41.5834, -72.7622)",238923,,17178,
MT,Montana,6/1/2018,Y,U,Y,3189,,N/A,,3189,,3124,,203,,3327,,129789,,280768,,14.8058,145.5505,"(14.8058, 145.5505)",255323,,25445,
NH,New Hampshire,1/1/2018,Y,U,Y,9677,,N/A,,9677,,5949,,596,,6545,,93349,,188893,,47.5362,-99.793,"(47.5362, -99.793)",174232,,14661,
MI,Michigan,5/1/2018,Y,U,Y,49495,,N/A,,49495,,47270,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1415,,48685,,948989,Does Not Include All Full-Benefit Child Medicaid enrollees,2364929,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2308845,Does Not Include All Full-Benefit Medicaid enrollees,56084,
CA,California,7/1/2017,Y,U,Y,148595,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,148595,,148733,Does Not Include All Medicaid Determinations Made At Application,10213,Does Not Include All CHIP Determinations Made At Application,158946,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5170276,,12277389,,33.7712,-111.3877,"(33.7712, -111.3877)",10988391,,1288998,
NE,Nebraska,1/1/2020,N,P,N,7144,,N/A,,7144,,6453,,1206,,7659,,162514,,243691,,35.6411,-79.8431,"(35.6411, -79.8431)",208688,,35003,
RI,Rhode Island,11/1/2019,Y,U,Y,1566,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1566,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2037,,149,,2186,,116959,,291798,,44.5672,-122.1269,"(44.5672, -122.1269)",258989,,32809,
OR,Oregon,10/1/2019,Y,P,N,12986,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12986,Does Not Include All Non-MAGI Applications,21895,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2565,,24460,Does Not Include All Non-MAGI Determinations Made At Application,414216,,986932,,40.3736,-82.7755,"(40.3736, -82.7755)",858485,,128447,
WI,Wisconsin,8/1/2018,N,P,N,25822,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,25822,Does Not Include All Applications for Limited-Benefit Programs,19106,"Count is of Households, Not Individuals",1131,,20237,,485930,,1032565,,37.768,-78.2057,"(37.768, -78.2057)",963580,,68985,
NE,Nebraska,8/1/2020,N,U,Y,10740,,N/A,,10740,,7135,,640,,7775,,174122,,265903,,35.6411,-79.8431,"(35.6411, -79.8431)",231235,,34668,
KY,Kentucky,6/1/2020,Y,U,Y,44945,,,,44945,,10905,,934,,11839,,574397,,1420933,,38.5111,-96.8005,"(38.5111, -96.8005)",1333816,,87117,
SC,South Carolina,8/1/2017,N,U,Y,22883,,N/A,,22883,,9708,Does Not Include All Medicaid Determinations Made At Application,171,Does Not Include All CHIP Determinations Made At Application,9879,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,648809,,1033865,,40.5773,-77.264,"(40.5773, -77.264)",956011,,77854,
KY,Kentucky,1/1/2018,Y,P,N,,,11599,,11599,,,,,,,,565131,,1374082,,38.5111,-96.8005,"(38.5111, -96.8005)",1285407,,88675,
WA,Washington,8/1/2018,Y,P,N,71842,,74567,,146409,,107717,,2053,,109770,,838456,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1753275,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1687019,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),66256,
DE,Delaware,10/1/2017,Y,U,Y,,,N/A,,,,,,,,,,106724,,230748,,38.8964,-77.0262,"(38.8964, -77.0262)",219311,,11437,
GA,Georgia,12/1/2018,N,P,N,37762,,N/A,,37762,,25284,,1116,,26400,,1212860,,1775639,,27.8333,-81.717,"(27.8333, -81.717)",1568350,,207289,
WA,Washington,10/1/2018,Y,U,Y,77367,,72898,,150265,,108510,,2061,,110571,,837578,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1745542,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1677536,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),68006,
WA,Washington,8/1/2020,Y,U,Y,80217,,59755,,139972,,35902,,955,,36857,,845678,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1834211,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1764161,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),70050,
AL,Alabama,1/1/2020,N,U,Y,14342,,N/A,,14342,,14602,,2006,,16608,,668005,,930346,,32.799,-86.8073,"(32.799, -86.8073)",758661,,171685,
TX,Texas,10/1/2018,N,P,N,124263,,N/A,,124263,,99778,,17013,,116791,,3422390,,4333994,,33.8191,-80.9066,"(33.8191, -80.9066)",3692032,,641962,
OH,Ohio,9/1/2019,Y,U,Y,68468,Includes Renewals and/or Redeterminations,N/A,,68468,Includes Renewals and/or Redeterminations,55529,Includes CHIP; Includes Renewals and/or Redeterminations,3108,,58637,Includes Renewals and/or Redeterminations,1170087,,2633478,,38.4199,-117.1219,"(38.4199, -117.1219)",2436520,,196958,
SD,South Dakota,5/1/2020,N,P,N,1706,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1706,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,837,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",837,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79732,,112232,,18.2766,-66.335,"(18.2766, -66.335)",96723,,15509,
FL,Florida,3/1/2019,N,P,N,251925,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,251925,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,172800,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,22702,,195502,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2448784,,3655668,,39.3498,-75.5148,"(39.3498, -75.5148)",3423439,,232229,
WA,Washington,4/1/2019,Y,U,Y,71569,,71452,,143021,,102344,,1714,,104058,,830545,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1727598,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1660788,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),66810,
MO,Missouri,4/1/2018,N,U,Y,18795,,N/A,,18795,,9938,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",,,9938,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",627955,,973093,,45.7326,-93.9196,"(45.7326, -93.9196)",941950,,31143,Does Not Include All CHIP enrollees
CT,Connecticut,10/1/2019,Y,P,N,6031,,12475,,18506,,16728,,392,,17120,,333764,,851428,,39.0646,-105.3272,"(39.0646, -105.3272)",831289,,20139,
ME,Maine,9/1/2018,Y,U,Y,4657,,N/A,,4657,,9003,,612,,9615,,109057,,226955,,39.0724,-76.7902,"(39.0724, -76.7902)",216668,,10287,
PA,Pennsylvania,4/1/2018,Y,P,N,82826,Includes Renewals and/or Redeterminations,N/A,,82826,Includes Renewals and/or Redeterminations,49255,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",6799,"Count is of Households, Not Individuals",56054,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1397473,,2977799,,35.5376,-96.9247,"(35.5376, -96.9247)",2799760,,178039,
RI,Rhode Island,10/1/2017,Y,P,N,4216,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,4216,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",5342,,615,,5957,,123144,,314026,,44.5672,-122.1269,"(44.5672, -122.1269)",286014,,28012,
MI,Michigan,6/1/2019,Y,U,Y,54431,,N/A,,54431,,49624,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1735,,51359,,936814,Does Not Include All Full-Benefit Child Medicaid enrollees,2305833,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2244066,Does Not Include All Full-Benefit Medicaid enrollees,61767,
ID,Idaho,4/1/2020,Y,U,Y,10274,,,,10274,,13957,,666,,14623,,179778,,332920,,42.0046,-93.214,"(42.0046, -93.214)",305509,,27411,
IL,Illinois,1/1/2019,Y,P,N,64477,,N/A,,64477,,28560,,9407,,37967,,1339931,,2817556,,44.2394,-114.5103,"(44.2394, -114.5103)",2564139,,253417,
TX,Texas,3/1/2019,N,P,N,111946,,N/A,,111946,,87539,,15574,,103113,,3361196,,4258566,,33.8191,-80.9066,"(33.8191, -80.9066)",3622606,,635960,
VT,Vermont,10/1/2018,Y,U,Y,3345,,1225,,4570,Includes Renewals and/or Redeterminations,5121,Includes Renewals and/or Redeterminations,122,,5243,,63492,,161162,,31.106,-97.6475,"(31.106, -97.6475)",156713,,4449,
KS,Kansas,2/1/2018,N,U,Y,,,N/A,,,,,,,,,,275926,,396699,,39.8647,-86.2604,"(39.8647, -86.2604)",344353,,52346,
MS,Mississippi,6/1/2020,N,U,Y,15606,,N/A,,15606,,8569,,404,,8973,,432003,,637591,,38.4623,-92.302,"(38.4623, -92.302)",556995,,80596,
KY,Kentucky,11/1/2018,Y,P,N,9344,,,,9344,,34181,,2192,,36373,,555741,,1320770,,38.5111,-96.8005,"(38.5111, -96.8005)",1230431,,90339,
SC,South Carolina,7/1/2019,N,U,Y,24019,,N/A,,24019,,7614,Does not Include All Medicaid Determinations made at Applications,152,Does not Include All CHIP Determinations made at Applications,7766,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,663537,,1058406,,40.5773,-77.264,"(40.5773, -77.264)",966938,,91468,
