State,Program Name,Program type,Statewide or region-specific?,Federal operating authority,Program start date ,Waiver expiration date (if applicable),"If the program ended in 2014, indicate the end date",Populations enrolled,Low-income Adults not eligible under ACA Section VIII,"Aged, Blind or Disabled Children or Adults",Non-Disabled Children (excluding children in foster care or receiving adoption assistance),Individuals receiving Limited Benefits,Low-income adults eligible under ACA Section VIII,Full Duals,Partial Duals,Children with Special Health Care Needs,Native American/Alaskan Natives,Foster Care and Adoption Assistance Children,Enrollment choice period,Enrollment broker name (if applicable),Notes on enrollment choice period,Benefits covered,Inpatient hospital physical health,Inpatient hospital behavioral health (MH and/or SUD),Outpatient hospital physical health,Outpatient hospital behavioral health (MH and/or SUD),Partial hospitalization,Physician,Nurse practitioner,Rural health clinics and FQHCs,Clinic services,Lab and x-ray,Prescription drugs and prosthetic devices,EPSDT,Case management,Health home (SSA 1945),Family planning,Dental services (medical/surgical),Dental (preventative or corrective),Home health agency services,Personal care (state plan option),HCBS waiver services,Private duty nursing,ICF-IDD,Nursing facility services,Hospice care,Non-Emergency Medical Transportation,"Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement,HEDIS data required?,CAHPS data required?,Accreditation required?,Accrediting organization,EQRO contractor name (if applicable),Performance incentives?,Payment bonuses/differentials to reward plans,Preferential auto-enrollment to reward plans,Public reports comparing MCO performance on key metrics,Withholds tied to performance metrics,MCOs/PHPs required/encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,Provider Value-Based Purchasing,State pays provider-based entities (such as ACOs or PCMHs) directly for value/quality outcomes using shared-risk or shared-savings methods,Participating plans and regions served,Plans in Program,Notes,Program notes,Year,Location
Pennsylvania,PA Living Independence For the Elderly (LIFE),Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,07/24/1998,,,,,,,,,Voluntary,Voluntary,,,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,,X,X,,X,X,,X,X,X,,X,X,X,Podiatry falls under Specialist Services,,No,No,No,Quality Assurance and Performance Improvement (QAPI) program,,,,,,,,,,,Senior LIFE Greensburg H-2937; Senior LIFE Johnstown H-3925; Senior LIFE Altoona H-5902; Senior LIFE York H-0819; Senior LIFE Lehigh H-5978; SpiriTrust LIFE H-2537; LIFE NWPA H-4999; LIFE Geisinger H-2064; Mercy LIFE H-3919; Mercy LIFE West Philadelphia H-3908; LIFE St. Mary H-6551; New Courtland LIFE H-9830; Albright LIFE H-9068; Community LIFE H-3917; LIFE-Pittsburgh H-3918; VieCare Butler H-3060; VieCare Beaver H-7660; VieCare Armstrong H-6188; Senior LIFE Washington H-2992,,,2016,"Pennsylvania
(40.896694, -77.838886)"
Nebraska,Nebraska Behavioral Health Managed Care,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),09/01/2013,06/30/2017,12/31/2016,,Mandatory,Mandatory,Mandatory,,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,,,X,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,URAC,Island Peer Review Organization (IPRO),,X,,,X,,,,,Magellan Health,,,2016,"Nebraska
(41.527099, -99.810595)"
New York,Health and Recovery Plans,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),10/01/2015,03/31/2021,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,X,X,X,X,,X,X,X,,X,,X,X,X,,,X,,"Nurse Midwife Services, Audiology, Vision, Occupational Therapy",,Yes,Yes,No,,Island Peer Review Organization,,X,X,X,,,,,,Affinity Health Plan; Capital District Physician's Health Plan; Excellus Health Plan; Healthfirst; Healthplus; HIP of Greater New York; Independent Health Association; Metroplus; MVP Health Plan; NYS Catholic Health Plan; Today's Options; United Healthcare; Yourcare Health Plan,,,2016,"New York
(42.921241, -75.59655)"
Iowa,PACE,Program of All-inclusive Care for the Elderly (PACE),"Available in these counties: Harrison, Mills, Pottawattamie, Cherokee, Monona, Plymouth, Woodbury, Boone, Dallas, Jasper, Marshall, Madison, Marion, Polk, Story, Warren.",PACE,09/01/2009,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,X,,,,X,,X,X,X,,,No,No,No,,,,,,,,,,,,PACE,,,2016,"Iowa
(42.074659, -93.500061)"
Wyoming,Wyoming PACE at Cheyenne Medical Center,Program of All-inclusive Care for the Elderly (PACE),Laramie County,PACE,02/01/2013,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,,X,X,X,X,X,,X,,,,X,X,X,"Adult day services, home delivered meals, recreational therapy, nutritional counseling, social services, non-medical transportation",,No,No,No,,,,,,,,,,,,Cheyenne Regional Medical Center PACE,,,2016,"Wyoming
(42.999627, -107.55145)"
Michigan,Managed Care Plan Division,Comprehensive MCO,Statewide,1915(b),07/01/1997,12/31/2019,,,,Mandatory,Mandatory,Mandatory,,Voluntary,Voluntary,,Mandatory,Mandatory,Mandatory,Voluntary,Voluntary,,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,"Ambulance and other emergency medical transportation, certified midwife services, chiropractic services, DME and supplies, emergency services, end stage renal disease services, health education, hearing and speech services, hearing aids (under 21 years old), medically necessary weight reduction services, parenting and birthing classes, podiatry services, prosthetics and orthotics, tobacco cessation treatment, speech, language, physical and occupational therapies, transplant services, transportation for medically necessary covered services, treatment for STDs, vision services.",,Yes,Yes,Yes,"NCQA, URAC",Health Services Advisory Group (HSAG),,X,X,X,,X,,,,"Aetna Better Health of MI; Blue Cross Complete of Michigan; HAP Midwest Health Plan Inc.; Harbor Health Plan Inc.; McLaren Health Plan; Meridian Health Plan of Michigan, Inc.; Molina Healthcare of Michigan; Priority Health Choice, Inc.; Total Health Care; UnitedHealthcare Community Plan Inc.; Upper Peninsula Health Plan",,Outpatient Mental Health Services are limited to twenty (20) visits per contract year.,2016,"Michigan
(44.874798, -85.730977)"
California,Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,03/12/1993,.,.,.,.,Voluntary,.,.,.,Voluntary,Voluntary,.,Voluntary,Exempt,N/A,.,do not apply,.,X,X,X,X,X,X,X,.,X,X,X,X,X,.,.,X,X,X,X,.,.,.,X,X,X,.,.,No,No,No,.,.,.,.,.,.,.,.,.,.,.,Sutter SeniorCare/Sacramento; Center for Elders Independence/Alameda; Alta Med Health Senior Buenacare/Los Angeles; Center for Elders Independence/Contra Costa; Innovage/Riverside; Innovage/San Bernardino; ONLOK LifeWays/San Francisco; ONLOK LifeWays/Alameda; St. Paul's PACE/San Diego; ONLOK Lifeways/Santa Clara; CalOPTIMA PACE/Orange; Brandman Centers for Senior Care/Los Angeles,.,.,2014,"California
(37.211164, -119.662127)"
Texas,Medical Transportation Program,Non-Emergency Medical Transportation,Statewide,"1915(b),1902(a)(70) NEMT",09/01/2014,08/31/2016,,,,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Logisticare; MTM; AMR; LeFleur; Project Amistad,,,2016,"Texas
(31.447238, -99.317341)"
Colorado,Colorado Medicaid Community Behavioral Health Services Program,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),07/01/1995,06/30/2017,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,,X,,X,X,,,,X,X,,X,X,,,,,,,,,,,,,,,Yes,No,No,,"Health Services Advisory Group, Inc.",,,,,,,,,,Colorado Health Partnerships; Behavioral Healthcare Inc.; Foothills Behavioral Health Partners; Access Behavioral Care - Denver; Access Behavioral Care - Northeast,,"The Colorado Medicaid Community Behavioral Health Services Program contracts with BHOs to arrange for, or provide, medically necessary mental health services to clients in five service areas. In each area, the program is managed by a different behavioral health organization BHO. Medicaid members are assigned to a BHO based on where they live.",2016,"Colorado
(38.998552, -105.547832)"
Oklahoma,SoonerCare Choice,Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),01/01/1996,12/31/2017,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,,X,X,"Podiatry, Speech Therapy, Disease Management, Hearing, Institutional, Occupational Therapy, Physical Therapy, Skilled Nursing Facility, Vision",,No,No,No,State Specific PCMH,Telligen,,,,,,,,,,Multiple Primary Care Providers,,,2016,"Oklahoma
(35.583449, -97.508297)"
Indiana,Healthy Indiana Plan (2.0),Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),02/01/2015,01/31/2018,,,Mandatory,,,,,,,Mandatory,,,,,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,X,X,,,Yes,Yes,Yes,NCQA,Burns and Associates,,X,,,X,X,,,,MDWise; Managed Health Services; Anthem,,,2016,"Indiana
(39.919991, -86.2818)"
Puerto Rico,Government Health Plan,Comprehensive MCO,Statewide,"1932(a),1937 Alt Benefit Plan",02/01/1994,,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,,,,,,,,,,,Yes,Yes,No,,Island Peer Review Organization (IPRO),,,,,X,X,,,,"First Medical Plan Inc.; MMM Multi Health, Inc.; Triple-S Salud Inc.; Molina Health Care PR, Inc.; MMM Multi Health, Inc. - PMC",,,2016,"Puerto Rico
(18.215692, -66.414655)"
Missouri,Mo Healthnet Managed Care/1915b,Comprehensive MCO,"Audrain, Bates, Benton, Boone, Callaway, Camden, Cass, Cedar, Chariton, Clay, Cole, Cooper, Franklin, Gasconade, Henry, Howard, Jackson, Jefferson, Johnson, Laclede, Lafayette, Lincoln, Linn, Macon, Madison, Maries, Marion, Miller, Moniteau, Monroe, Montgomery, Morgan, Osage, Perry, Pettis, Phelps, Pike, Platte, Polk, Pulaski, Ralls, Randolph, Ray, St Charles, St Clair, St Francois, St Genevieve, St Louis Co, Saline, Shelby, Vernon, Warren, Washington, and St Louis City",1915(b),09/01/1995,06/30/2018,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,X,X,"Ambulatory Surgical Care, Comprehensive Day Rehabilitation, Durable Medical Equipment, Emergency, Hearing, Immunization, Impatient Substance Use Disorders, Outpatient Substance Use Disorders, Prenatal Case Management, Vision",,Yes,Yes,Yes,NCQA,"Behavioral Health Concepts, Inc.",,X,X,X,X,,,,,"Aetna Better Health (of Missouri Eastern,  Missouri Central, and Missouri Western); Missouri Care (Eastern, Central, Western); Home State (Eastern, Central, Western)",,,2016,"Missouri
(38.3675, -92.477244)"
Alabama,Patient 1st,Primary Care Case Management (PCCM),Statewide,1932(a),02/01/2005,,.,.,Mandatory,Mandatory,Mandatory,.,.,.,.,Voluntary,Voluntary,Exempt,N/A,.,.,.,X,X,X,X,.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,.,.,X,X,Podiatry for children,.,No,No,No,.,.,.,.,.,.,.,.,.,.,.,Multiple primary care providers,.,"Beneficiaries enrolled in Patient Care Networks of Alabama (PCNA) are also enrolled in Patient 1st but receive their enhanced services through the PCNA health home.  For this reason, PCNA beneficiaries are not included in the Patient 1st enrollment reported here. Note that all dental services are only provided for people under age 21.",2014,"Alabama
(32.756889, -86.844516)"
Texas,Children's Medicaid Dental Services,Dental only (PAHP),Statewide,1115(a) (Medicaid demonstration waivers),12/12/2011,09/30/2016,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,Yes,Yes,No,,Institute of Child Health Policy,,X,,X,,X,,,,DentaQuest; MCNA Dental,,,2016,"Texas
(31.447238, -99.317341)"
California,Senior Care Action Network (SCAN),Comprehensive MCO + MLTSS,"Los Angeles, Riverside, San Bernardino",1115(a) (Medicaid demonstration waivers),01/01/1996,12/31/2020,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,X,,X,,,,X,X,X,,,No,No,No,,,,,,,,,,,,"SCAN Health Plan (Los Angeles, Riverside, San Bernadino); SCAN Health Plan (Nurs hm cert) (Los Angeles, Riverside, San Bernardino)",,,2016,"California
(37.211164, -119.662127)"
California,County Organized Health Systems (COHS) Model,Comprehensive MCO + MLTSS,"Del Norte, Humboldt, Lake, Lassen, Marin, Mendocino, Merced, Modoc, Monterey, Napa, Orange, San Luis Obispo, San Mateo, Santa Barbara, Santa Cruz, Shasta, Siskiyou, Solano, Sonoma, Trinity, Ventura, Yolo",1115(a) (Medicaid demonstration waivers),10/01/1995,12/31/2020,,,Mandatory,Mandatory,Mandatory,Mandatory,,Varies,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Varies,Mandatory,,X,,X,,,X,X,X,,X,X,X,X,,X,,X,,,,,X,X,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,,,X,,,,,,"CenCal (San Luis Obispo, Santa Barbara); Health Plan of San Mateo; Partnership HealthPlan of CA (Del Norte, Humboldt, Lassen, Lake, Marin, Mendocino, Modoc, Napa, Shasta, Siskiyou, Solano, Sonoma, Trinity, Yolo); Central California Alliance for Health (Merced, Monterey, Santa Cruz); CalOPTIMA; Gold Coast Health Plan",,Full duals are mandatory for managed care enrollment in CCI Counties (Orange and San Mateo) and voluntary for all other Counties.,2016,"California
(37.211164, -119.662127)"
Minnesota,Minnesota Senior Health Option (MSHO),Comprehensive MCO + MLTSS,Statewide,1915(a)/1915(c),03/01/1997,06/30/2018,,,,,,,,Voluntary,,,,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,X,,X,,,Yes,Yes,No,,Michigan Peer Review Organization,,,X,,X,,,,,Blue Plus; Health Partners; Itasca Medical Center; Medica; PrimeWest Health; South Country Health; Ucare,,,2016,"Minnesota
(46.349153, -94.198308)"
Tennessee,Program of All-Inclusive Care for the Elderly,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,04/07/1999,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,,X,X,X,,X,X,,X,X,,X,X,X,,X,X,X,"Podiatry, nutrition counseling, recreational therapy and social activities, spiritual care, transportation and escort to and from the PACE center, audiology and hearing aids, optometry and eyeglasses, and medical equipment and supplies are additional services covered by Tennessee's PACE program.",,No,No,No,,,,,,,,,,,,Alexian Brothers Community Services,,"A segment of Tennessee's PACE population qualifies for coverage solely by virtue of the TennCare II Demonstration (Tennessee's 1115 Medicaid demonstration waiver) and not via Tennessee's Medicaid State Plan.  TennCare II has a demonstration-only population referred to as the ""PACE Carryover Group"", which consists of individuals who were enrolled in a PACE program as of June 30, 2012, but who upon redetermination no longer qualify for enrollment due solely to the state's modification of its nursing facility level of care criteria.  Individuals who enroll in TennCare but opt not to participate in PACE are mandatorily enrolled in an MCO.  PACE enrollees must meet the nursing facility level of care criteria (i.e., be disabled) to qualify for the program.  Tennessee's PACE program complies with all quality assessment and performance improvement requirements outlined in federal regulation (42 CFR 460 Subpart H).",2016,"Tennessee
(35.842998, -86.343226)"
Idaho,Idaho Non-Emergent Medical Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,09/01/2010,,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,NEMT,,,2016,"Idaho
(44.389073, -114.659366)"
Washington,Washington State Integrated Community Mental Health Program (ICMH),Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),10/01/2014,09/30/2016,,,Mandatory,Mandatory,Mandatory,,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,,,,,X,X,,,X,X,,,X,X,,,,,,,,,,,,X,,,No,No,Yes,RSNs contract with accredited community mental health agencies,Qualis Health,,,,,,,,,,Multiple Regional Support Networks,,,2016,"Washington
(47.411715, -120.592492)"
California,Dental managed Care-LA,Dental only (PAHP),Los Angeles,1115(a) (Medicaid demonstration waivers),04/01/1998,12/31/2020,.,.,Voluntary,Voluntary,Voluntary,.,Voluntary,Voluntary,.,.,Mandatory,Voluntary,60 days,Health Care Operation/Maximus,.,.,.,.,.,.,.,.,.,X,.,.,.,X,X,.,.,X,X,.,.,.,.,.,.,.,X,.,.,Yes,Yes,No,.,.,.,X,.,X,X,.,.,.,.,Health Net of CA-Dental-LA  ( Plan 405); Access Dental Plan-LA  (Plan 409); Liberty Dental Plan of CA-LA  (Plan 416),.,.,2014,"California
(37.211164, -119.662127)"
Rhode Island,RIte Smiles,Dental only (PAHP),Statewide,1115(a) (Medicaid demonstration waivers),05/01/2006,12/31/2018,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,No,Yes,No,,,,,,,,,,,,United Healthcare Dental,,,2016,"Rhode Island
(41.572574, -71.534637)"
Virginia,PACE,Program of All-inclusive Care for the Elderly (PACE),"22901, 22902, 22903, 22904, 22911, 22920, 22922, 22923, 22931, 22932, 22935, 22936, 22937, 22938, 22940, 22942, 22943, 22946, 22947, 22949, 22958, 22959, 22963, 22964, 22967, 22968, 22969, 22971, 22973, 22974, 22976, 23022  23024, 23055, 23065, 23084  23093, 23117, 24464, 24562,   24590, 24599, 23002, 23004,  23027, 23040, 23083, 23123,  23824, 23894, 23901, 23909, 23921, 23922, 23923, 23930,  23934, 23936, 23937, 23939,  23941, 23942, 23943, 23947,  23952, 23954, 23955, 23958,  23959, 23960, 23963, 23966,  23974, 23976, 24599, 24501,  24502, 24503, 24504, 24521,  24522, 24536, 24538, 24550,  24551, 24554, 24556, 24572,  24574, 24588, 24593, 24011,  24012, 24013, 24014, 24015,  24016, 24017, 24018, 24019,  24020, 24059, 24060, 24064,  24065, 24066, 24067, 24070,  24073, 24077, 24079, 24083,  24087, 24090, 24095, 24101,  24121, 24122, 24138, 24149,  24153, 24162, 24174, 24175,  24179, 24184, 24092, 24151,  24176, 22546, 23005, 23009,  23011, 23015, 23024, 23030,  23039, 23047, 23058, 23059,  23060, 23069, 23075, 23086,  23089, 23102, 23103, 23106,  23111, 23112, 23113, 23114,  23116, 23120, 23124, 23129,  23139, 23140, 23141, 23146,  23150, 23162, 23173, 23181,  23192, 23218, 23219, 23220,  23221, 23222, 23223, 23224,  23225, 23226, 23227, 23228,  23229, 23230, 23231, 23232,  23233, 23234, 23235, 23236,  23237, 23238, 23240, 23241,  23242, 23249, 23250, 23255,  23260, 23261, 23269, 23270,  23272, 23273, 23274, 23275,  23276, 23278, 23279, 23280,  23282, 23284, 23285, 23286,  23288, 23289, 23290, 23291,  23292, 23293, 23294, 23295,  23298, 23801, 23803, 23804,  23805, 23806, 23830, 23831,  23832, 23833, 23834, 23836,  23838, 23840, 23841, 23842,  23850, 23860, 23875, 23882,  23885, 23601, 23602, 23603,  23604, 23605, 23606, 23607,  23608, 23651, 23661, 23662,  23663, 23664, 23665, 23666,  23669, 23692, 23693, 23696,  23320, 23321, 23322, 23323,  23324, 23325, 23432, 23433,  23434, 23435, 23436, 23437,  23438, 23451, 23452, 23453,  23454, 23455, 23456, 23457,  23459, 23460, 23461, 23462,  23463, 23464, 23502, 23503,  23504, 23505, 23507, 23508,  23509, 23510, 23511, 23513,  23517, 23518, 23521, 23523,  23529, 23701, 23702, 23703,  23704, 23707, 23709, 24215,  24216, 24218, 24219, 24221,  24230, 24243, 24244, 24245,  24246, 24248, 24250, 24251,  24258, 24263, 24265, 24271,  24273, 24277, 24279, 24281, 24282, 24283, 24290, 24293,  24217, 24220, 24224, 24225,  24226, 24228, 24237, 24239,  24256, 24260, 24266, 24269,  24272, 24280, 24377, 24601,  24602, 24603, 24604, 24605,  24606, 24607, 24608, 24609,  24612, 24613, 24614, 24619,  24620, 24622, 24624, 24627,  24628, 24630, 24631, 24634,  24635, 24637, 24639, 24640,  24641, 24646, 24647, 24649,  24651, 24656, 24657, 24658,  20041, 20120, 20121, 20124,  20151, 20170, 20171, 20190,  20191, 20192, 20194, 22003,  22015, 22027, 22030, 22031,  22032, 22033, 22039, 22041,  22042, 22043, 22044, 22046, 22060, 22066, 22067, 22079,  22101, 22102, 22124, 22150,  22151, 22152, 22153, 22180,  22181, 22182, 22303, 22306,  22307, 22308, 22309, 22310,  22312, 22315, 22201, 22202,  22203, 22204, 22205, 22206,  22207, 22209, 22211, 22213,  22301, 22302, 22304, 22305,  22311, 22314, 20109, 20110,  20111, 20112, 20136, 20137,  20143, 20155, 20169, 20181,  22025, 22026, 22134, 22172,  22191, 22192, 22193, 24054  24055, 24069, 24078, 24082, 24089, 24102, 24104, 24112, 24137, 24139, 24146, 24148, 24161, 24165, 24168,24517, 24527, 24528, 24530, 24531, 24540, 24541, 24549, 24557, 24563, 24565, 24566, 24569, 24571, 24586, 24594, 24133,  24176, 24543, 24576",PACE,11/01/2007,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,,,X,,X,X,,X,,,,X,,X,"Adult Day Care, Respite Services",,No,No,No,,,,,,,,,,,,AllCare Pace; Mountain Empire Older Citizen PACE (MEOC); Kissito PACE; Centra PACE- Farmville; Centra PACE - Lynchburg; Sentara Life Care PACE - Virginia Beach; Sentara Life Care PACE - Churchland; Riverside PACE - Hampton; Riverside PACE - MacTavish; Riverside PACE - Newport News; Blue Ridge PACE; INOVA Cares for Seniors PACE; Centra PACE - Gretna,,"Centra PACE - Greta began on July 1, 2016",2016,"Virginia
(37.510861, -78.666382)"
Wisconsin,Wisconsin Partnership Program,Comprehensive MCO + MLTSS,"Counties: Calumet, Columbia, Dane, Dodge, Jefferson, Kenosha, Milwaukee, Outagamie, Ozaukee, Racine, Sauk, Washington, Waukesha, Waupaca",1932(a)/1915(c),12/01/1995,12/31/2019,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,Ambulatory surgical center; audiology; chiropractic; community mental health services; durable medical equipment and medical supplies; nurse-midwife; occupational therapy; physical therapy; podiatry; prenatal care cordination; respiratory care for ventilator dependent persons; school-based services; speech & language pathology; vision care,,No,No,No,,"MetaStar, Inc.",,,,,,,,,,"Independent Care Health Plan – iCare; Care Wisconsin Health Plan, Inc. – Care Wisconsin; Community Care Health Plan, Inc. – Community Care, Inc.",,,2016,"Wisconsin
(44.639954, -89.732969)"
Arizona,Arizona Health Care Cost Containment System,Comprehensive MCO + MLTSS,,1115(a) (Medicaid demonstration waivers),07/13/1982,09/30/2021,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,Yes,Yes,No,"Please note that HEDIS and CAHPS are run by the EQRO, not the MCOs.",Health Services Advisory Group,,X,X,X,X,X,,,,United Healthcare Plan; Bridgeway Health Solution MLTSS; Care 1st Health Plan; Comprehensive Medical and Dental Program; Division of Developmental Disabilities MLTSS; United Healthcare Plan MLTSS; Health Choice Arizona; Health Net Access; Maricopa Health Plan; Mercy Care Plan; Mercy Care Plan MLTSS; Phoenix Health Plan; University Family Care; Mercy Maricopa Integrated Care; Cenpatico Integrated Care; Health Choice Integrated Care,,"*Enrollment (voluntary with auto-enrollment) - Members have choice and if they do not choose then there are rules for where they are auto-enrolled depending on the program.  If an individual does not choose their plan prior to eligibility being determined, they are auto-enrolled in a health plan and given 30 days to choose a different plan.",2016,"Arizona
(34.293239, -111.664616)"
Minnesota,Minnesota Senior Care Plus (MSC+),Comprehensive MCO + MLTSS,Statewide,1915(b)/1915(c),06/01/2005,06/30/2021,,,,Mandatory,,,,Mandatory,,,Mandatory,,,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,X,,X,Mental health services,,Yes,Yes,No,,Michigan Peer Review Organization,,,X,,X,,,,,Blue Plus; Health Partners; Itasca Medical Care; Medica; PrimeWest Health; South Country Health; Ucare,,,2016,"Minnesota
(46.349153, -94.198308)"
Kentucky,Non-Emergency Transportation Program,Non-Emergency Medical Transportation,Statewide,1915(b),12/01/1998,06/30/2018,,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,NEMT-Human Services Transportation Delivery,,,2016,"Kentucky
(37.526683, -85.290484)"
New Mexico,Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"Bernalillo County, Sandoval County, Valencia County",PACE,07/01/2004,,,,,,,,,Voluntary,,,,,,Voluntary,,,X,X,X,X,,X,X,,X,X,X,,X,X,,X,X,,X,,X,,X,,X,"Adult Day/Health Center, Optometry, Audiology, Podiatry, Alternative Therapies (Chiropractic, Acupuncture)",,Yes,No,No,,,,,,,,,,,,Innovage Greater New Mexico PACE dba Total Community Care,,,2016,"New Mexico
(34.421369, -106.108388)"
California,Family Mosaic Project/ San Francisco,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),San Francisco,1915(a),12/01/1992,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,X,X,X,X,,,,,,,,,,,,X,,,Yes,No,No,,,,,,,,,,,,Family Mosaic Project/San Francisco,,,2016,"California
(37.211164, -119.662127)"
Indiana,Hoosier Care Connect,Comprehensive MCO,Statewide,1915(b),04/01/2015,03/31/2017,,,,Mandatory,,,,,,,Mandatory,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,,,Yes,Yes,Yes,NCQA,Burns and Associates,,X,,,X,X,,,,Anthem; Managed Health Services; MDWise,,,2016,"Indiana
(39.919991, -86.2818)"
California,Georgraphic Managed Care (GMC) Model,Comprehensive MCO + MLTSS,"Sacramento, San Diego",1115(a) (Medicaid demonstration waivers),01/01/1994,12/31/2020,.,.,Mandatory,Mandatory,Mandatory,.,Mandatory,Voluntary,.,.,Voluntary,Voluntary,Other,Health Care Options (maximus),Approximately 45 days,.,X,.,X,.,.,X,X,X,X,X,X,X,X,.,X,.,.,.,X,X,X,X,X,X,X,.,.,Yes,Yes,No,.,Health Service Advisory Group,.,.,X,X,.,.,.,.,.,Community Health Group/San Diego; Health Net/San Diego; Molina Health Care/San Diego; Care 1st Healthplan/San Diego; Kaiser/San Diego; Molina Health Care/Sacramento; Health Net/Sacramento; Kaiser/Sacramento; Anthem Blue Cross/Sacramento,.,"MLTSS benefits are available in the counties where Californias Financial Alignment Initiative program, Cal-MediConnect operates, to Medicaid-only beneficiaries and to Medicare-Medicaid beneficiaries who opt out or who are not eligible for Cal-MediConnect and meet MLTSS eligibility requirements.",2014,"California
(37.211164, -119.662127)"
Idaho,Healthy Homes,Primary Care Case Management (PCCM),Statewide,1945 Health Homes,01/01/2013,,01/31/2016,,,Voluntary,Mandatory,,,Voluntary,Voluntary,,Voluntary,Mandatory,,Voluntary,Voluntary,,,,,,,,,,,,,,X,,,,,,,,,,,,,Primary Care Case Management,,No,No,Yes,NCQA,,,,,,,,,,,Multiple primary care providers,,,2016,"Idaho
(44.389073, -114.659366)"
